IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
146.56.44.88,443,true,ICN,Asia Pacific,Seoul,80 ms,16783 kB/s
64.110.88.46,443,true,ICN,Asia Pacific,Seoul,75 ms,11989 kB/s
150.230.47.17,443,true,SJC,North America,San Jose,202 ms,10239 kB/s
192.9.246.112,8443,true,SJC,North America,San Jose,192 ms,9881 kB/s
152.70.117.136,443,true,SJC,North America,San Jose,178 ms,9536 kB/s
155.248.196.218,443,true,SJC,North America,San Jose,201 ms,9533 kB/s
192.18.140.32,443,true,SJC,North America,San Jose,185 ms,8970 kB/s
34.83.75.32,443,true,SEA,North America,Seattle,203 ms,8331 kB/s
192.18.134.22,443,true,SJC,North America,San Jose,195 ms,7706 kB/s
34.154.28.158,443,true,FRA,Europe,Frankfurt,253 ms,6453 kB/s
132.145.54.84,2053,true,LHR,Europe,London,253 ms,6245 kB/s
141.147.61.201,443,true,FRA,Europe,Frankfurt,264 ms,5973 kB/s
141.147.77.33,443,true,FRA,Europe,Frankfurt,264 ms,5935 kB/s
129.146.83.33,8443,true,LAX,North America,Los Angeles,265 ms,5906 kB/s
143.47.253.10,443,true,FRA,Europe,Frankfurt,263 ms,5905 kB/s
158.101.205.150,443,true,FRA,Europe,Frankfurt,270 ms,5796 kB/s
141.148.226.224,443,true,FRA,Europe,Frankfurt,274 ms,5732 kB/s
141.147.108.199,443,true,FRA,Europe,Frankfurt,279 ms,5689 kB/s
34.154.64.223,443,true,FRA,Europe,Frankfurt,251 ms,5587 kB/s
146.56.46.84,443,true,NRT,Asia Pacific,Tokyo,72 ms,5514 kB/s
34.123.83.237,443,true,ORD,North America,Chicago,259 ms,5417 kB/s
140.238.121.101,443,true,FRA,Europe,Frankfurt,265 ms,5389 kB/s
150.230.116.34,443,true,FRA,Europe,Frankfurt,279 ms,5324 kB/s
192.18.150.121,443,true,YYZ,North America,Toronto,237 ms,5323 kB/s
130.61.199.237,443,true,FRA,Europe,Frankfurt,254 ms,5323 kB/s
34.154.154.180,443,true,FRA,Europe,Frankfurt,241 ms,5315 kB/s
158.101.220.115,443,true,FRA,Europe,Frankfurt,265 ms,5272 kB/s
35.246.217.201,443,true,FRA,Europe,Frankfurt,238 ms,5249 kB/s
138.2.168.53,443,true,FRA,Europe,Frankfurt,254 ms,5119 kB/s
34.118.109.211,443,true,AMS,Europe,Amsterdam,266 ms,5115 kB/s
34.118.46.204,443,true,FRA,Europe,Frankfurt,244 ms,5084 kB/s
129.159.199.64,443,true,FRA,Europe,Frankfurt,289 ms,5038 kB/s
140.238.94.163,443,true,FRA,Europe,Frankfurt,259 ms,4997 kB/s
129.153.165.237,443,true,IAD,North America,Ashburn,240 ms,4993 kB/s
35.204.240.103,443,true,FRA,Europe,Frankfurt,246 ms,4952 kB/s
132.145.54.84,8443,true,LHR,Europe,London,254 ms,4945 kB/s
132.145.14.205,443,true,FRA,Europe,Frankfurt,269 ms,4936 kB/s
141.147.100.235,443,true,FRA,Europe,Frankfurt,267 ms,4885 kB/s
150.230.113.167,443,true,FRA,Europe,Frankfurt,267 ms,4884 kB/s
158.101.217.58,443,true,FRA,Europe,Frankfurt,269 ms,4863 kB/s
129.146.111.62,443,true,LAX,North America,Los Angeles,279 ms,4862 kB/s
150.230.118.19,443,true,FRA,Europe,Frankfurt,256 ms,4825 kB/s
141.147.76.49,443,true,FRA,Europe,Frankfurt,273 ms,4818 kB/s
141.147.99.98,443,true,FRA,Europe,Frankfurt,262 ms,4757 kB/s
141.147.66.189,443,true,FRA,Europe,Frankfurt,262 ms,4751 kB/s
34.107.31.245,443,true,FRA,Europe,Frankfurt,258 ms,4678 kB/s
130.162.228.115,443,true,FRA,Europe,Frankfurt,272 ms,4655 kB/s
158.180.59.54,443,true,FRA,Europe,Frankfurt,275 ms,4636 kB/s
84.8.145.62,443,true,FRA,Europe,Frankfurt,264 ms,4606 kB/s
130.162.219.193,443,true,FRA,Europe,Frankfurt,273 ms,4604 kB/s
141.147.92.232,443,true,FRA,Europe,Frankfurt,253 ms,4538 kB/s
84.8.148.235,8443,true,LHR,Europe,London,254 ms,4499 kB/s
143.47.232.231,443,true,FRA,Europe,Frankfurt,257 ms,4498 kB/s
140.238.81.102,443,true,FRA,Europe,Frankfurt,271 ms,4383 kB/s
130.162.228.70,443,true,FRA,Europe,Frankfurt,263 ms,4379 kB/s
150.230.114.147,443,true,FRA,Europe,Frankfurt,267 ms,4373 kB/s
152.67.149.229,443,true,FRA,Europe,Frankfurt,267 ms,4373 kB/s
155.248.202.141,443,true,SJC,North America,San Jose,177 ms,4277 kB/s
34.116.189.98,443,true,FRA,Europe,Frankfurt,275 ms,4266 kB/s
150.230.115.64,443,true,FRA,Europe,Frankfurt,259 ms,4186 kB/s
164.152.26.70,2086,true,ORD,North America,Chicago,254 ms,4143 kB/s
158.178.150.46,443,true,FRA,Europe,Frankfurt,265 ms,4073 kB/s
144.21.51.110,443,true,LHR,Europe,London,252 ms,4050 kB/s
138.2.18.184,443,true,NRT,Asia Pacific,Tokyo,150 ms,4012 kB/s
152.67.231.219,443,true,SJC,North America,San Jose,182 ms,4001 kB/s
34.116.148.216,443,true,FRA,Europe,Frankfurt,256 ms,3977 kB/s
143.47.243.144,8443,true,LHR,Europe,London,258 ms,3946 kB/s
141.147.98.152,443,true,FRA,Europe,Frankfurt,267 ms,3908 kB/s
158.101.11.22,8443,true,LAX,North America,Los Angeles,249 ms,3841 kB/s
141.148.245.92,443,true,FRA,Europe,Frankfurt,275 ms,3833 kB/s
193.123.56.90,443,true,FRA,Europe,Frankfurt,273 ms,3795 kB/s
129.151.205.193,443,true,ARN,Europe,Stockholm,292 ms,3724 kB/s
129.146.254.39,443,true,LAX,North America,Los Angeles,278 ms,3638 kB/s
144.21.53.129,443,true,FRA,Europe,Frankfurt,263 ms,3631 kB/s
158.178.146.177,443,true,FRA,Europe,Frankfurt,271 ms,3612 kB/s
143.47.179.251,443,true,FRA,Europe,Frankfurt,280 ms,3608 kB/s
152.70.148.46,2053,true,LAX,North America,Los Angeles,254 ms,3594 kB/s
129.146.46.164,443,true,LAX,North America,Los Angeles,280 ms,3574 kB/s
152.69.192.182,443,true,NRT,Asia Pacific,Tokyo,212 ms,3503 kB/s
155.248.196.123,443,true,YVR,North America,Vancouver,177 ms,3433 kB/s
129.153.119.97,443,true,LAX,North America,Los Angeles,271 ms,3347 kB/s
129.146.213.36,80,true,LAX,North America,Los Angeles,250 ms,3332 kB/s
129.146.240.62,443,true,LAX,North America,Los Angeles,255 ms,3313 kB/s
141.145.205.115,8443,true,CDG,Europe,Paris,247 ms,2946 kB/s
151.145.36.72,443,true,YYZ,North America,Toronto,265 ms,2940 kB/s
143.47.243.144,2053,true,LHR,Europe,London,249 ms,2927 kB/s
192.18.139.229,8443,true,SJC,North America,San Jose,200 ms,2873 kB/s
140.238.195.98,443,true,SYD,Oceania,Sydney,333 ms,2729 kB/s
140.238.158.238,8080,true,YYZ,North America,Toronto,243 ms,2719 kB/s
193.122.197.111,443,true,IAD,North America,Ashburn,245 ms,2537 kB/s
158.101.98.60,2095,true,IAD,North America,Ashburn,251 ms,2527 kB/s
204.216.105.106,8443,true,YUL,North America,Montréal,250 ms,2463 kB/s
35.198.132.113,443,true,FRA,Europe,Frankfurt,244 ms,2450 kB/s
192.9.180.162,443,true,SYD,Oceania,Sydney,328 ms,2363 kB/s
129.146.248.140,443,true,LAX,North America,Los Angeles,268 ms,2353 kB/s
193.123.38.152,443,true,FRA,Europe,Frankfurt,275 ms,2194 kB/s
158.180.25.74,443,true,FRA,Europe,Frankfurt,267 ms,2149 kB/s
138.2.137.38,443,true,FRA,Europe,Frankfurt,271 ms,2129 kB/s
130.61.67.37,443,true,FRA,Europe,Frankfurt,264 ms,2114 kB/s
143.47.190.229,443,true,FRA,Europe,Frankfurt,252 ms,2105 kB/s
193.122.61.2,443,true,FRA,Europe,Frankfurt,264 ms,2067 kB/s
34.116.170.77,443,true,FRA,Europe,Frankfurt,254 ms,1980 kB/s
141.147.17.173,443,true,FRA,Europe,Frankfurt,261 ms,1967 kB/s
129.159.194.84,443,true,FRA,Europe,Frankfurt,269 ms,1961 kB/s
143.47.243.148,443,true,FRA,Europe,Frankfurt,267 ms,1940 kB/s
158.101.208.119,443,true,FRA,Europe,Frankfurt,265 ms,1939 kB/s
34.118.108.19,443,true,FRA,Europe,Frankfurt,249 ms,1934 kB/s
144.21.33.69,443,true,FRA,Europe,Frankfurt,263 ms,1907 kB/s
34.118.23.155,443,true,FRA,Europe,Frankfurt,262 ms,1894 kB/s
141.147.112.248,443,true,FRA,Europe,Frankfurt,309 ms,1888 kB/s
152.70.53.113,443,true,FRA,Europe,Frankfurt,264 ms,1888 kB/s
141.144.245.73,443,true,FRA,Europe,Frankfurt,269 ms,1884 kB/s
144.21.61.198,443,true,FRA,Europe,Frankfurt,271 ms,1884 kB/s
34.154.41.67,443,true,FRA,Europe,Frankfurt,235 ms,1870 kB/s
141.147.67.22,443,true,FRA,Europe,Frankfurt,267 ms,1839 kB/s
34.116.167.166,443,true,FRA,Europe,Frankfurt,247 ms,1836 kB/s
152.70.191.139,443,true,FRA,Europe,Frankfurt,273 ms,1809 kB/s
150.230.22.59,443,true,FRA,Europe,Frankfurt,263 ms,1791 kB/s
152.67.132.143,443,true,FRA,Europe,Frankfurt,278 ms,1772 kB/s
34.118.45.21,443,true,FRA,Europe,Frankfurt,250 ms,1769 kB/s
141.147.101.165,443,true,FRA,Europe,Frankfurt,273 ms,1763 kB/s
34.118.12.209,443,true,FRA,Europe,Frankfurt,256 ms,1759 kB/s
130.162.226.2,443,true,FRA,Europe,Frankfurt,262 ms,1753 kB/s
141.147.69.187,443,true,FRA,Europe,Frankfurt,272 ms,1737 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,233 ms,1731 kB/s
141.147.83.84,443,true,FRA,Europe,Frankfurt,266 ms,1695 kB/s
34.118.64.206,443,true,FRA,Europe,Frankfurt,246 ms,1683 kB/s
150.230.127.232,443,true,FRA,Europe,Frankfurt,274 ms,1679 kB/s
143.47.234.201,443,true,FRA,Europe,Frankfurt,265 ms,1670 kB/s
143.47.246.190,443,true,FRA,Europe,Frankfurt,283 ms,1647 kB/s
141.147.85.235,443,true,FRA,Europe,Frankfurt,266 ms,1644 kB/s
